"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2014","1.2262","1.2256","1.2290","1.2245","","0.09%"
"01/27/2014","1.2251","1.2237","1.2276","1.2222","","0.16%"
"01/24/2014","1.2232","1.2291","1.2305","1.2218","","-0.46%"
"01/23/2014","1.2288","1.2348","1.2366","1.2273","","-0.45%"
"01/22/2014","1.2343","1.2342","1.2357","1.2328","","0.03%"
"01/21/2014","1.2339","1.2334","1.2381","1.2321","","0.08%"
"01/20/2014","1.2329","1.2331","1.2346","1.2315","","0.08%"
"01/17/2014","1.2319","1.2325","1.2342","1.2312","","-0.04%"
"01/16/2014","1.2324","1.2358","1.2378","1.2311","","-0.24%"
"01/15/2014","1.2354","1.2348","1.2376","1.2337","","0.08%"
"01/14/2014","1.2344","1.2290","1.2353","1.2288","","0.45%"
"01/13/2014","1.2289","1.2331","1.2349","1.2287","","-0.33%"
"01/10/2014","1.2330","1.2347","1.2407","1.2304","","-0.10%"
"01/09/2014","1.2342","1.2367","1.2392","1.2332","","-0.18%"
"01/08/2014","1.2364","1.2378","1.2401","1.2355","","-0.10%"
"01/07/2014","1.2376","1.2322","1.2384","1.2314","","0.46%"
"01/06/2014","1.2319","1.2304","1.2335","1.2293","","0.20%"
"01/03/2014","1.2295","1.2293","1.2316","1.2276","","0.03%"
"01/02/2014","1.2291","1.2269","1.2327","1.2261","","0.23%"
"01/01/2014","1.2263","1.2276","1.2285","1.2257","","-0.07%"
"12/31/2013","1.2272","1.2257","1.2284","1.2241","","0.15%"
"12/30/2013","1.2254","1.2254","1.2275","1.2237","","0.06%"
"12/27/2013","1.2247","1.2276","1.2283","1.2199","","-0.20%"
"12/26/2013","1.2271","1.2253","1.2279","1.2248","","0.20%"
"12/25/2013","1.2246","1.2254","1.2278","1.2224","","-0.02%"
"12/24/2013","1.2249","1.2243","1.2266","1.2233","","0.07%"
"12/23/2013","1.2241","1.2251","1.2267","1.2232","","-0.03%"
"12/20/2013","1.2245","1.2271","1.2275","1.2230","","-0.19%"
"12/19/2013","1.2268","1.2235","1.2279","1.2224","","0.30%"
"12/18/2013","1.2231","1.2184","1.2261","1.2177","","0.42%"
"12/17/2013","1.2180","1.2212","1.2222","1.2165","","-0.20%"
"12/16/2013","1.2205","1.2229","1.2236","1.2199","","-0.10%"
"12/13/2013","1.2217","1.2231","1.2244","1.2207","","-0.10%"
"12/12/2013","1.2229","1.2222","1.2251","1.2196","","0.08%"
"12/11/2013","1.2219","1.2212","1.2231","1.2203","","0.12%"
"12/10/2013","1.2204","1.2237","1.2243","1.2203","","-0.24%"
"12/09/2013","1.2233","1.2248","1.2264","1.2218","","0.07%"
"12/06/2013","1.2224","1.2256","1.2266","1.2212","","-0.24%"
"12/05/2013","1.2253","1.2268","1.2292","1.2243","","-0.10%"
"12/04/2013","1.2265","1.2290","1.2302","1.2254","","-0.20%"
"12/03/2013","1.2289","1.2304","1.2321","1.2275","","-0.11%"
"12/02/2013","1.2302","1.2317","1.2330","1.2290","","-0.09%"
"11/29/2013","1.2313","1.2319","1.2336","1.2287","","-0.03%"
"11/28/2013","1.2317","1.2325","1.2334","1.2302","","-0.04%"
"11/27/2013","1.2322","1.2303","1.2338","1.2295","","0.17%"
"11/26/2013","1.2301","1.2325","1.2335","1.2298","","-0.18%"
"11/25/2013","1.2323","1.2287","1.2334","1.2283","","0.24%"
"11/22/2013","1.2293","1.2308","1.2332","1.2282","","-0.09%"
"11/21/2013","1.2304","1.2315","1.2337","1.2299","","-0.03%"
"11/20/2013","1.2308","1.2335","1.2347","1.2284","","-0.18%"
"11/19/2013","1.2330","1.2333","1.2344","1.2317","","0.02%"
"11/18/2013","1.2327","1.2356","1.2362","1.2310","","-0.17%"
"11/15/2013","1.2348","1.2333","1.2355","1.2323","","0.13%"
"11/14/2013","1.2332","1.2325","1.2346","1.2314","","0.11%"
"11/13/2013","1.2319","1.2327","1.2335","1.2307","","-0.05%"
"11/12/2013","1.2325","1.2326","1.2343","1.2308","","0.02%"
"11/11/2013","1.2322","1.2319","1.2338","1.2308","","0.06%"
"11/08/2013","1.2315","1.2289","1.2364","1.2283","","0.24%"
"11/07/2013","1.2286","1.2328","1.2432","1.2277","","-0.31%"
"11/06/2013","1.2324","1.2312","1.2335","1.2300","","0.13%"
"11/05/2013","1.2308","1.2296","1.2319","1.2281","","0.14%"
"11/04/2013","1.2291","1.2312","1.2335","1.2289","","-0.07%"
"11/01/2013","1.2300","1.2317","1.2331","1.2295","","-0.11%"
"10/31/2013","1.2313","1.2354","1.2365","1.2296","","-0.29%"
"10/30/2013","1.2349","1.2356","1.2382","1.2329","","-0.01%"
"10/29/2013","1.2350","1.2347","1.2375","1.2334","","0.03%"
"10/28/2013","1.2346","1.2321","1.2353","1.2315","","0.24%"
"10/25/2013","1.2316","1.2314","1.2355","1.2296","","0.04%"
"10/24/2013","1.2311","1.2291","1.2323","1.2281","","0.21%"
"10/23/2013","1.2285","1.2332","1.2340","1.2277","","-0.36%"
"10/22/2013","1.2329","1.2342","1.2370","1.2267","","-0.08%"
"10/21/2013","1.2339","1.2344","1.2365","1.2319","","0.00%"
"10/18/2013","1.2339","1.2342","1.2357","1.2333","","0.00%"
"10/17/2013","1.2339","1.2363","1.2369","1.2308","","-0.16%"
"10/16/2013","1.2359","1.2342","1.2372","1.2328","","0.15%"
"10/15/2013","1.2341","1.2346","1.2382","1.2330","","-0.02%"
"10/14/2013","1.2343","1.2364","1.2371","1.2317","","-0.07%"
