"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2014","146.50","148.13","148.49","146.25","","-1.01%"
"12/12/2014","147.99","147.30","148.22","146.93","","0.52%"
"12/11/2014","147.23","146.63","148.86","146.41","","0.43%"
"12/10/2014","146.60","148.12","148.30","146.48","","-1.01%"
"12/09/2014","148.10","148.66","148.90","146.79","","-0.35%"
"12/08/2014","148.62","149.14","149.76","148.17","","-0.36%"
"12/05/2014","149.15","148.30","149.55","148.24","","0.61%"
"12/04/2014","148.25","147.49","148.99","147.29","","0.55%"
"12/03/2014","147.44","147.63","147.96","147.01","","-0.09%"
"12/02/2014","147.57","147.63","148.22","147.43","","-0.03%"
"12/01/2014","147.62","147.88","148.19","147.07","","-0.03%"
"11/28/2014","147.67","146.74","148.03","146.74","","0.65%"
"11/27/2014","146.72","147.25","147.30","146.41","","-0.33%"
"11/26/2014","147.21","147.17","147.45","146.48","","0.03%"
"11/25/2014","147.16","147.17","147.43","146.28","","0.01%"
"11/24/2014","147.14","145.80","147.35","145.57","","0.83%"
"11/21/2014","145.93","148.23","148.46","145.68","","-1.53%"
"11/20/2014","148.20","148.10","149.16","147.86","","0.07%"
"11/19/2014","148.09","146.52","148.32","146.35","","1.09%"
"11/18/2014","146.50","145.23","146.73","145.14","","0.89%"
"11/17/2014","145.21","145.70","146.55","144.76","","-0.25%"
"11/14/2014","145.58","144.42","145.88","144.30","","0.84%"
"11/13/2014","144.37","143.65","144.63","143.55","","0.52%"
"11/12/2014","143.62","144.44","144.73","143.34","","-0.55%"
"11/11/2014","144.41","142.67","144.54","142.57","","1.24%"
"11/10/2014","142.64","142.66","142.95","142.07","","0.02%"
"11/07/2014","142.61","142.57","143.03","141.98","","0.05%"
"11/06/2014","142.54","143.15","144.23","142.16","","-0.41%"
"11/05/2014","143.12","142.51","143.48","142.32","","0.46%"
"11/04/2014","142.47","142.35","142.64","141.69","","0.10%"
"11/03/2014","142.33","140.75","142.60","140.38","","1.20%"
"10/31/2014","140.64","137.75","140.84","137.66","","2.12%"
"10/30/2014","137.72","137.55","138.10","137.04","","0.14%"
"10/29/2014","137.53","137.73","138.05","137.24","","-0.13%"
"10/28/2014","137.71","136.91","137.82","136.85","","0.60%"
"10/27/2014","136.89","137.15","137.49","136.57","","-0.09%"
"10/24/2014","137.01","136.92","137.11","136.49","","0.10%"
"10/23/2014","136.87","135.52","137.03","135.19","","1.00%"
"10/22/2014","135.51","136.07","136.24","135.41","","-0.36%"
"10/21/2014","136.00","136.88","136.98","135.68","","-0.63%"
"10/20/2014","136.86","136.49","137.04","136.26","","0.35%"
"10/17/2014","136.38","136.20","136.75","135.73","","0.16%"
"10/16/2014","136.16","135.98","136.33","134.13","","0.17%"
"10/15/2014","135.93","135.52","136.08","135.12","","0.32%"
"10/14/2014","135.49","136.25","136.59","135.02","","-0.54%"
"10/13/2014","136.23","135.87","136.35","135.54","","0.22%"
"10/10/2014","135.93","136.86","137.11","135.82","","-0.67%"
"10/09/2014","136.84","137.64","137.91","136.61","","-0.57%"
"10/08/2014","137.62","136.88","137.97","136.64","","0.57%"
"10/07/2014","136.84","137.67","137.81","136.55","","-0.57%"
"10/06/2014","137.63","137.33","137.81","137.03","","0.20%"
"10/03/2014","137.36","137.36","138.24","137.07","","0.02%"
"10/02/2014","137.33","137.48","137.76","136.85","","-0.07%"
"10/01/2014","137.43","138.51","138.84","137.38","","-0.77%"
"09/30/2014","138.49","138.88","138.97","137.92","","-0.25%"
"09/29/2014","138.84","138.63","139.17","138.49","","0.18%"
"09/26/2014","138.59","138.67","139.12","138.38","","-0.03%"
"09/25/2014","138.63","139.33","139.74","138.43","","-0.48%"
"09/24/2014","139.30","139.91","139.99","138.96","","-0.40%"
"09/23/2014","139.86","139.86","140.25","139.24","","0.01%"
"09/22/2014","139.85","139.91","140.25","139.62","","0.01%"
"09/19/2014","139.84","140.43","141.26","139.66","","-0.43%"
"09/18/2014","140.45","139.45","140.57","139.14","","0.74%"
"09/17/2014","139.42","138.86","139.64","138.75","","0.43%"
"09/16/2014","138.82","138.70","139.01","138.51","","0.11%"
"09/15/2014","138.67","139.18","139.29","138.43","","-0.33%"
"09/12/2014","139.13","138.45","139.23","138.22","","0.51%"
"09/11/2014","138.43","138.02","138.57","137.73","","0.33%"
"09/10/2014","137.97","137.39","138.20","137.29","","0.46%"
"09/09/2014","137.34","136.75","137.55","136.61","","0.45%"
"09/08/2014","136.72","136.01","137.03","135.76","","0.47%"
"09/05/2014","136.08","136.25","136.63","135.75","","-0.12%"
"09/04/2014","136.25","137.79","138.05","135.95","","-1.12%"
"09/03/2014","137.80","137.98","138.30","137.67","","-0.12%"
"09/02/2014","137.97","137.01","138.13","136.92","","0.72%"
"09/01/2014","136.98","136.71","137.08","136.64","","0.25%"
"08/29/2014","136.64","136.69","137.23","136.57","","-0.04%"
"08/28/2014","136.70","137.05","137.25","136.40","","-0.22%"
"08/27/2014","137.00","137.07","137.32","136.73","","0.00%"
"08/26/2014","137.00","137.28","137.44","136.99","","-0.17%"
"08/25/2014","137.23","137.41","138.05","137.08","","-0.28%"
"08/22/2014","137.61","137.91","138.05","137.30","","-0.20%"
"08/21/2014","137.88","137.57","137.99","137.45","","0.25%"
"08/20/2014","137.53","137.06","137.70","136.99","","0.36%"
"08/19/2014","137.04","137.07","137.19","136.78","","0.00%"
"08/18/2014","137.04","137.05","137.30","136.77","","-0.06%"
"08/15/2014","137.12","136.93","137.65","136.75","","0.18%"
"08/14/2014","136.87","136.89","137.28","136.78","","0.01%"
"08/13/2014","136.86","136.71","137.20","136.60","","0.12%"
"08/12/2014","136.70","136.80","136.92","136.34","","-0.05%"
"08/11/2014","136.77","136.77","137.09","136.58","","-0.05%"
"08/08/2014","136.84","136.45","136.98","135.71","","0.33%"
"08/07/2014","136.39","136.65","137.15","136.24","","-0.16%"
"08/06/2014","136.61","137.23","137.27","136.14","","-0.44%"
"08/05/2014","137.21","137.70","137.76","137.06","","-0.33%"
"08/04/2014","137.67","137.76","137.95","137.40","","-0.09%"
"08/01/2014","137.79","137.63","138.07","137.53","","0.12%"
"07/31/2014","137.62","137.71","137.89","137.48","","-0.04%"
"07/30/2014","137.68","136.94","137.89","136.81","","0.56%"
"07/29/2014","136.92","136.90","137.14","136.74","","0.03%"
"07/28/2014","136.88","136.70","136.97","136.61","","0.11%"
"07/25/2014","136.73","137.08","137.28","136.63","","-0.25%"
"07/24/2014","137.07","136.64","137.22","136.34","","0.33%"
"07/23/2014","136.62","136.63","136.81","136.39","","0.01%"
"07/22/2014","136.61","137.13","137.38","136.57","","-0.36%"
"07/21/2014","137.11","137.16","137.20","136.87","","0.06%"
"07/18/2014","137.03","136.87","137.32","136.70","","0.15%"
"07/17/2014","136.82","137.51","137.57","136.80","","-0.50%"
"07/16/2014","137.51","138.01","138.12","137.47","","-0.35%"
"07/15/2014","137.99","138.30","138.47","137.87","","-0.20%"
"07/14/2014","138.27","137.93","138.49","137.79","","0.25%"
"07/11/2014","137.93","137.92","138.07","137.65","","0.02%"
"07/10/2014","137.90","138.70","138.75","137.48","","-0.54%"
"07/09/2014","138.65","138.28","138.79","138.12","","0.28%"
"07/08/2014","138.26","138.57","138.67","138.10","","-0.19%"
"07/07/2014","138.52","138.82","138.88","138.42","","-0.19%"
"07/04/2014","138.78","139.09","139.15","138.57","","-0.21%"
"07/03/2014","139.07","139.01","139.53","138.94","","0.04%"
"07/02/2014","139.01","138.88","139.10","138.53","","0.10%"
"07/01/2014","138.87","138.76","139.17","138.67","","0.13%"
"06/30/2014","138.69","138.46","138.80","138.09","","0.26%"
"06/27/2014","138.33","138.48","138.53","137.97","","-0.09%"
"06/26/2014","138.46","138.85","138.87","137.90","","-0.26%"
"06/25/2014","138.82","138.76","138.94","138.54","","0.06%"
"06/24/2014","138.73","138.71","138.96","138.44","","0.05%"
"06/23/2014","138.66","138.80","138.94","138.26","","-0.09%"
"06/20/2014","138.79","138.75","138.94","138.51","","0.08%"
"06/19/2014","138.68","138.57","138.92","138.41","","0.09%"
"06/18/2014","138.55","138.37","138.89","138.31","","0.14%"
"06/17/2014","138.35","138.24","138.57","138.17","","0.10%"
"06/16/2014","138.21","138.19","138.31","137.68","","0.01%"
"06/13/2014","138.20","137.86","138.59","137.74","","0.28%"
"06/12/2014","137.81","138.16","138.38","137.70","","-0.22%"
"06/11/2014","138.11","138.67","138.70","137.84","","-0.39%"
"06/10/2014","138.65","139.38","139.46","138.44","","-0.50%"
"06/09/2014","139.35","139.87","140.12","139.24","","-0.31%"
"06/06/2014","139.78","139.89","140.00","139.37","","-0.04%"
"06/05/2014","139.83","139.75","140.01","138.66","","0.10%"
"06/04/2014","139.69","139.71","139.99","139.51","","0.03%"
"06/03/2014","139.65","139.21","139.81","139.09","","0.36%"
"06/02/2014","139.15","138.82","139.36","138.65","","0.30%"
"05/30/2014","138.73","138.46","138.92","138.06","","0.21%"
